              0          1           2           3         4          5           6           7  8  9
123           0          0           0           0  0.451953        0.4  0.00546875   0.0138889  1  0
132           0          0           0           0  0.591406   0.321528     0.00625  0.00972222  0  0
133           0          0           0           0         0          0           0           0  0  1
143    0.642187   0.160417   0.0046875  0.00694444  0.641406   0.163889   0.0046875  0.00833333  1  0
192           0          0           0           0         0          0           0           0  1  0
219    0.602344   0.252778   0.0046875  0.00833333  0.595703   0.247222  0.00546875  0.00833333  0  0
220    0.608203   0.259722  0.00546875  0.00833333  0.602344   0.252778   0.0046875  0.00833333  0  1
232    0.644922   0.156944  0.00390625  0.00833333   0.64375   0.158333   0.0046875  0.00833333  1  0
251    0.635156   0.559722   0.0046875   0.0166667         0          0           0           0  0  1
263           0          0           0           0         0          0           0           0  1  0
268    0.591016     0.4875  0.00859375       0.025         0          0           0           0  0  0
282    0.533203     0.2625  0.00546875  0.00833333  0.537109   0.267361  0.00546875  0.00972222  0  0
291    0.505859   0.277778  0.00546875  0.00833333  0.509375   0.271528   0.0046875  0.00972222  0  1
302           0          0           0           0         0          0           0           0  1  0
321    0.683594   0.497917   0.0109375   0.0263889  0.667578    0.45625   0.0101562   0.0208333  0  0
323    0.708984   0.566667   0.0117188   0.0222222  0.699219   0.539583    0.009375   0.0208333  0  1
444           0          0           0           0         0          0           0           0  1  0
455    0.467187   0.458333     0.00625   0.0277778         0          0           0           0  0  1
466    0.428125   0.619444   0.0078125   0.0194444  0.430469   0.609028   0.0078125   0.0180556  1  0
474    0.429297   0.361806  0.00546875      0.0125         0          0           0           0  0  0
488    0.439063   0.282639   0.0046875  0.00694444  0.438281   0.280556   0.0046875  0.00833333  0  1
498           0          0           0           0         0          0           0           0  1  0
512    0.545703    0.29375  0.00859375      0.0125  0.534766   0.272917  0.00703125      0.0125  0  0
525           0          0           0           0         0          0           0           0  0  1
532    0.744922     0.6375  0.00546875  0.00833333         0          0           0           0  1  0
552    0.447656   0.309722   0.0046875  0.00833333  0.451953   0.309722  0.00546875  0.00833333  0  0
553    0.440234     0.3125  0.00546875  0.00833333  0.447656   0.309722   0.0046875  0.00833333  0  1
570    0.380469   0.189583   0.0046875  0.00694444  0.382812   0.190972   0.0046875  0.00694444  1  0
592    0.398828     0.4375  0.00703125   0.0222222         0          0           0           0  0  0
598    0.411719   0.653472     0.00625   0.0291667  0.408594    0.60625     0.00625   0.0291667  0  1
603    0.419141   0.678472  0.00703125   0.0152778  0.417969   0.677778     0.00625   0.0138889  1  0
627    0.579687   0.292361     0.00625  0.00972222  0.576953   0.292361  0.00546875  0.00972222  0  1
642    0.606641   0.167361  0.00390625  0.00694444  0.607031    0.16875   0.0046875  0.00694444  1  0
673           0          0           0           0         0          0           0           0  1  0
697    0.569922   0.292361  0.00546875  0.00972222  0.564062   0.289583   0.0046875  0.00694444  0  1
707    0.598828        0.2  0.00390625  0.00833333  0.596484    0.20625  0.00546875  0.00694444  0  0
712    0.601953   0.189583  0.00390625  0.00694444         0          0           0           0  1  0
733    0.411328   0.522917  0.00859375   0.0180556  0.424219   0.485417    0.009375   0.0208333  0  1
749           0          0           0           0         0          0           0           0  1  0
762    0.495313   0.278472     0.00625  0.00972222  0.489453   0.282639  0.00703125  0.00972222  0  0
769    0.548047   0.256944  0.00546875  0.00833333  0.541016    0.25625  0.00546875  0.00972222  0  0
772    0.563281   0.263194   0.0046875  0.00972222  0.557813   0.259722   0.0046875  0.00833333  0  1
780           0          0           0           0         0          0           0           0  1  0
803    0.547656   0.501389     0.00625   0.0222222  0.550391   0.464583  0.00703125   0.0208333  0  1
822    0.516016   0.670833  0.00859375   0.0194444  0.515625   0.663194   0.0078125   0.0208333  1  0
841    0.629297   0.284028  0.00546875   0.0152778  0.626172   0.289583  0.00546875  0.00972222  0  1
856    0.646875   0.172222   0.0046875  0.00833333  0.646094   0.172222   0.0046875  0.00833333  1  0
935           0          0           0           0         0          0           0           0  1  0
946    0.605078      0.275  0.00546875  0.00833333  0.611328      0.275  0.00546875  0.00833333  0  1
1044   0.546484   0.486806  0.00859375   0.0291667  0.540234   0.459722  0.00859375   0.0277778  0  1
1053   0.630078       0.55  0.00703125   0.0111111  0.623438   0.543056    0.009375   0.0138889  1  0
1061   0.568359    0.31875  0.00703125      0.0125  0.578516   0.345139  0.00546875  0.00972222  0  0
1086          0          0           0           0         0          0           0           0  0  1
1090          0          0           0           0         0          0           0           0  1  0
1120   0.359375   0.620139   0.0078125   0.0263889  0.363281   0.577778     0.00625       0.025  0  1
1141   0.460938   0.315278     0.00625   0.0111111  0.451562   0.333333     0.00625   0.0111111  0  0
1158   0.539062   0.253472   0.0046875  0.00972222    0.5375   0.263889   0.0046875   0.0111111  0  1
